Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Afghanistan,AFG,..,..,3.2558000087738,4.54397010803223,4.34319019317627,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Albania,ALB,..,3.4301700592041,3.43796992301941,3.96209001541138,3.61172008514404,3.08201370407389,3.87018990516663,3.325040102005,3.00555992126465,2.72976994514465,3.09153008460998,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Algeria,DZA,..,..,6.17633014564047,6.50210843472458,5.73482350888796,5.8127512720176,5.57536563446523,6.19391724496515,5.51403281769924,4.74924673000603,5.61015717726636,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Andorra,AND,..,..,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15060997009277,2.63213046553066,2.381921736037,2.64727997779846,1.89867997169495,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Angola,AGO,..,2.60753011703491,3.48689580393413,2.75493664582725,2.46687881104886,2.18351298946275,2.07306438181603,2.66744733689285,2.29719689513241,2.38535898416633,2.51273663315785,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,1.9934755302761,2.17149931504636,2.28158315038897,2.26922708436893,3.35725653382563,3.0051830460864,2.50897393198865,2.50368755552383,3.10505161832136,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Argentina,ARG,1.06737995147705,4.58030986785889,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.7716498374939,5.27689981460571,4.65393018722534,4.79263019561768,5.89754023690244,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Armenia,ARM,..,2.77273011207581,2.80591011047363,2.75812005996704,2.70759010314941,2.11331180512289,2.15984239839771,2.70555996894836,2.76784992218018,2.4918999671936,2.43869996070862,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Aruba,ABW,..,4.71468019485474,5.88826990127563,5.49136018753052,4.45581996127504,4.54876355243615,4.43503686776957,..,3.61855755636695,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Australia,AUS,4.66683006286621,..,..,..,..,..,..,5.38625001907349,5.34109020233154,5.05916023254395,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Austria,AUT,4.97674989700317,5.62036991119385,5.49144983291626,5.50954008102417,5.40181016921997,5.25437021255493,5.23678016662598,5.57961988449097,5.48071002960205,5.27748012542725,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Azerbaijan,AZE,..,3.85399007797241,2.95167994499206,2.90340995788574,2.4738199710846,2.45543003082275,3.1764600276947,4.33204984664917,3.7020800113678,3.04690003395081,3.66400003433227,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Bahamas, The",BHS,..,2.23284006118774,2.2723175918231,2.58786212973921,2.69510162053495,2.49264112462151,2.62573176503127,3.7125229961238,3.04890655208507,2.62367021406169,2.74191570247934,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bahrain,BHR,..,..,2.55344009399414,2.80248290251154,2.21637010574341,2.38893976833662,2.11146982812491,2.05801907522052,1.85115940115918,1.71192127094005,1.88778167912993,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Bangladesh,BGD,1.51911997795105,2.12508010864258,1.87225417109978,1.28183996677399,2.11342875356648,2.09477473545666,1.13094997406006,2.13974351741877,2.17090882504654,2.08538657806243,2.16213826344701,2.0343847791384
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Barbados,BRB,..,4.71585988998413,5.15997517232471,4.19719982147217,3.956209897995,5.40447825597088,3.72228002548218,3.86529994010925,4.49793004989624,4.14000988006592,3.7754499912262,3.55593188106322
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Belarus,BLR,..,6.19661998748779,4.78750991821289,4.94654989242554,4.79500007629395,4.83656978607178,4.97948980331421,4.86263990402222,4.60641002655029,4.62823009490967,4.9514799118042,..
